Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  16:20:00,11.066666666666669,71.66666666666667,34.16666666666667,12.999999999999997 
 01/01  16:25:00,10.883333333333333,72.33333333333333,32.583333333333339,6.500000000000003 
 01/01  16:30:00,10.7,73.0,31.0,0.0 
 01/01  16:35:00,10.516666666666668,73.66666666666667,28.416666666666666,0.0 
 01/01  16:40:00,10.333333333333334,74.33333333333333,25.833333333333337,0.0 
 01/01  16:45:00,10.149999999999999,75.0,23.25,0.0 
 01/01  16:50:00,9.966666666666667,75.66666666666667,0.0,0.0 
 01/01  16:55:00,9.783333333333334,76.33333333333333,0.0,0.0 
 01/01  17:00:00,9.6,77.0,0.0,0.0 
 01/01  17:05:00,9.541666666666666,77.08333333333333,0.0,0.0 
 01/01  17:10:00,9.483333333333335,77.16666666666667,0.0,0.0 
 01/01  17:15:00,9.424999999999999,77.25,0.0,0.0 
 01/01  17:20:00,9.366666666666668,77.33333333333334,0.0,0.0 
 01/01  17:25:00,9.308333333333332,77.41666666666666,0.0,0.0 
 01/01  17:30:00,9.25,77.5,0.0,0.0 
 01/01  17:35:00,9.191666666666667,77.58333333333333,0.0,0.0 
 01/01  17:40:00,9.133333333333333,77.66666666666667,0.0,0.0 
 01/01  17:45:00,9.075000000000001,77.75,0.0,0.0 
 01/01  17:50:00,9.016666666666666,77.83333333333333,0.0,0.0 
 01/01  17:55:00,8.958333333333334,77.91666666666667,0.0,0.0 
 01/01  18:00:00,8.9,78.0,0.0,0.0 
 01/01  18:05:00,8.891666666666666,78.25,0.0,0.0 
 01/01  18:10:00,8.883333333333333,78.5,0.0,0.0 
 01/01  18:15:00,8.875,78.75,0.0,0.0 
 01/01  18:20:00,8.866666666666668,79.0,0.0,0.0 
 01/01  18:25:00,8.858333333333335,79.25,0.0,0.0 
 01/01  18:30:00,8.850000000000002,79.5,0.0,0.0 
 01/01  18:35:00,8.841666666666667,79.75,0.0,0.0 
 01/01  18:40:00,8.833333333333334,80.0,0.0,0.0 
 01/01  18:45:00,8.825000000000001,80.25,0.0,0.0 
 01/01  18:50:00,8.816666666666667,80.5,0.0,0.0 
 01/01  18:55:00,8.808333333333334,80.75,0.0,0.0 
 01/01  19:00:00,8.8,81.0,0.0,0.0 
 01/01  19:05:00,8.8,80.91666666666667,0.0,0.0 
 01/01  19:10:00,8.8,80.83333333333333,0.0,0.0 
 01/01  19:15:00,8.8,80.75,0.0,0.0 
 01/01  19:20:00,8.8,80.66666666666667,0.0,0.0 
 01/01  19:25:00,8.8,80.58333333333333,0.0,0.0 
 01/01  19:30:00,8.8,80.5,0.0,0.0 
 01/01  19:35:00,8.8,80.41666666666667,0.0,0.0 
 01/01  19:40:00,8.8,80.33333333333333,0.0,0.0 
 01/01  19:45:00,8.8,80.25,0.0,0.0 
 01/01  19:50:00,8.8,80.16666666666667,0.0,0.0 
 01/01  19:55:00,8.8,80.08333333333333,0.0,0.0 
 01/01  20:00:00,8.8,80.0,0.0,0.0 
 01/01  20:05:00,8.816666666666667,79.75,0.0,0.0 
 01/01  20:10:00,8.833333333333334,79.5,0.0,0.0 
 01/01  20:15:00,8.850000000000002,79.25,0.0,0.0 
 01/01  20:20:00,8.866666666666668,79.0,0.0,0.0 
 01/01  20:25:00,8.883333333333333,78.75,0.0,0.0 
 01/01  20:30:00,8.9,78.5,0.0,0.0 
 01/01  20:35:00,8.916666666666666,78.25,0.0,0.0 
 01/01  20:40:00,8.933333333333334,78.0,0.0,0.0 
 01/01  20:45:00,8.95,77.75,0.0,0.0 
 01/01  20:50:00,8.966666666666667,77.5,0.0,0.0 
 01/01  20:55:00,8.983333333333335,77.25,0.0,0.0 
 01/01  21:00:00,9.0,77.0,0.0,0.0 
 01/01  21:05:00,9.025,77.08333333333333,0.0,0.0 
 01/01  21:10:00,9.05,77.16666666666667,0.0,0.0 
 01/01  21:15:00,9.075,77.25,0.0,0.0 
 01/01  21:20:00,9.100000000000002,77.33333333333334,0.0,0.0 
 01/01  21:25:00,9.125,77.41666666666666,0.0,0.0 
 01/01  21:30:00,9.15,77.5,0.0,0.0 
 01/01  21:35:00,9.175,77.58333333333333,0.0,0.0 
 01/01  21:40:00,9.200000000000001,77.66666666666667,0.0,0.0 
 01/01  21:45:00,9.225000000000002,77.75,0.0,0.0 
 01/01  21:50:00,9.25,77.83333333333333,0.0,0.0 
 01/01  21:55:00,9.275,77.91666666666667,0.0,0.0 
 01/01  22:00:00,9.3,78.0,0.0,0.0 
 01/01  22:05:00,9.283333333333334,78.16666666666667,0.0,0.0 
 01/01  22:10:00,9.266666666666668,78.33333333333333,0.0,0.0 
 01/01  22:15:00,9.25,78.5,0.0,0.0 
 01/01  22:20:00,9.233333333333335,78.66666666666667,0.0,0.0 
 01/01  22:25:00,9.216666666666667,78.83333333333333,0.0,0.0 
 01/01  22:30:00,9.2,79.0,0.0,0.0 
 01/01  22:35:00,9.183333333333334,79.16666666666667,0.0,0.0 
 01/01  22:40:00,9.166666666666668,79.33333333333333,0.0,0.0 
 01/01  22:45:00,9.149999999999999,79.5,0.0,0.0 
 01/01  22:50:00,9.133333333333333,79.66666666666667,0.0,0.0 
 01/01  22:55:00,9.116666666666668,79.83333333333333,0.0,0.0 
 01/01  23:00:00,9.1,80.0,0.0,0.0 
 01/01  23:05:00,9.141666666666668,79.83333333333333,0.0,0.0 
 01/01  23:10:00,9.183333333333334,79.66666666666667,0.0,0.0 
 01/01  23:15:00,9.225,79.5,0.0,0.0 
 01/01  23:20:00,9.266666666666668,79.33333333333334,0.0,0.0 
 01/01  23:25:00,9.308333333333334,79.16666666666666,0.0,0.0 
 01/01  23:30:00,9.35,79.0,0.0,0.0 
 01/01  23:35:00,9.391666666666666,78.83333333333333,0.0,0.0 
 01/01  23:40:00,9.433333333333334,78.66666666666667,0.0,0.0 
 01/01  23:45:00,9.475,78.5,0.0,0.0 
 01/01  23:50:00,9.516666666666666,78.33333333333333,0.0,0.0 
 01/01  23:55:00,9.558333333333332,78.16666666666667,0.0,0.0 
 01/01  24:00:00,9.6,78.0,0.0,0.0 
 01/02  00:05:00,9.491666666666666,78.91666666666667,0.0,0.0 
 01/02  00:10:00,9.383333333333333,79.83333333333333,0.0,0.0 
 01/02  00:15:00,9.274999999999999,80.75,0.0,0.0 
 01/02  00:20:00,9.166666666666668,81.66666666666667,0.0,0.0 
 01/02  00:25:00,9.058333333333334,82.58333333333333,0.0,0.0 
 01/02  00:30:00,8.95,83.5,0.0,0.0 
 01/02  00:35:00,8.841666666666667,84.41666666666667,0.0,0.0 
 01/02  00:40:00,8.733333333333335,85.33333333333333,0.0,0.0 
 01/02  00:45:00,8.625,86.25,0.0,0.0 
 01/02  00:50:00,8.516666666666668,87.16666666666667,0.0,0.0 
 01/02  00:55:00,8.408333333333334,88.08333333333333,0.0,0.0 
 01/02  01:00:00,8.3,89.0,0.0,0.0 
 01/02  01:05:00,8.308333333333334,89.08333333333333,0.0,0.0 
 01/02  01:10:00,8.316666666666669,89.16666666666667,0.0,0.0 
 01/02  01:15:00,8.325000000000001,89.25,0.0,0.0 
 01/02  01:20:00,8.333333333333334,89.33333333333334,0.0,0.0 
 01/02  01:25:00,8.341666666666667,89.41666666666666,0.0,0.0 
 01/02  01:30:00,8.350000000000002,89.5,0.0,0.0 
 01/02  01:35:00,8.358333333333335,89.58333333333333,0.0,0.0 
 01/02  01:40:00,8.366666666666668,89.66666666666667,0.0,0.0 
 01/02  01:45:00,8.375,89.75,0.0,0.0 
 01/02  01:50:00,8.383333333333335,89.83333333333333,0.0,0.0 
 01/02  01:55:00,8.391666666666668,89.91666666666667,0.0,0.0 
 01/02  02:00:00,8.4,90.0,0.0,0.0 
 01/02  02:05:00,8.416666666666666,89.91666666666667,0.0,0.0 
 01/02  02:10:00,8.433333333333334,89.83333333333333,0.0,0.0 
 01/02  02:15:00,8.450000000000001,89.75,0.0,0.0 
 01/02  02:20:00,8.466666666666667,89.66666666666667,0.0,0.0 
 01/02  02:25:00,8.483333333333333,89.58333333333333,0.0,0.0 
 01/02  02:30:00,8.5,89.5,0.0,0.0 
 01/02  02:35:00,8.516666666666666,89.41666666666667,0.0,0.0 
 01/02  02:40:00,8.533333333333334,89.33333333333333,0.0,0.0 
 01/02  02:45:00,8.549999999999999,89.25,0.0,0.0 
 01/02  02:50:00,8.566666666666667,89.16666666666667,0.0,0.0 
 01/02  02:55:00,8.583333333333334,89.08333333333333,0.0,0.0 
 01/02  03:00:00,8.6,89.0,0.0,0.0 
 01/02  03:05:00,8.549999999999999,89.33333333333333,0.0,0.0 
 01/02  03:10:00,8.5,89.66666666666667,0.0,0.0 
 01/02  03:15:00,8.45,90.0,0.0,0.0 
 01/02  03:20:00,8.4,90.33333333333334,0.0,0.0 
 01/02  03:25:00,8.35,90.66666666666666,0.0,0.0 
 01/02  03:30:00,8.3,91.0,0.0,0.0 
 01/02  03:35:00,8.25,91.33333333333333,0.0,0.0 
 01/02  03:40:00,8.2,91.66666666666667,0.0,0.0 
 01/02  03:45:00,8.15,92.0,0.0,0.0 
 01/02  03:50:00,8.1,92.33333333333333,0.0,0.0 
 01/02  03:55:00,8.05,92.66666666666667,0.0,0.0 
 01/02  04:00:00,8.0,93.0,0.0,0.0 
 01/02  04:05:00,8.0,93.0,0.0,0.0 
 01/02  04:10:00,8.0,93.0,0.0,0.0 
 01/02  04:15:00,8.0,93.0,0.0,0.0 
 01/02  04:20:00,8.0,93.0,0.0,0.0 
 01/02  04:25:00,8.0,93.0,0.0,0.0 
 01/02  04:30:00,8.0,93.0,0.0,0.0 
 01/02  04:35:00,8.0,93.0,0.0,0.0 
 01/02  04:40:00,8.0,93.0,0.0,0.0 
 01/02  04:45:00,8.0,93.0,0.0,0.0 
 01/02  04:50:00,8.0,93.0,0.0,0.0 
 01/02  04:55:00,8.0,93.0,0.0,0.0 
 01/02  05:00:00,8.0,93.0,0.0,0.0 
 01/02  05:05:00,8.0,93.0,0.0,0.0 
 01/02  05:10:00,8.0,93.0,0.0,0.0 
 01/02  05:15:00,8.0,93.0,0.0,0.0 
 01/02  05:20:00,8.0,93.0,0.0,0.0 
 01/02  05:25:00,8.0,93.0,0.0,0.0 
 01/02  05:30:00,8.0,93.0,0.0,0.0 
 01/02  05:35:00,8.0,93.0,0.0,0.0 
 01/02  05:40:00,8.0,93.0,0.0,0.0 
 01/02  05:45:00,8.0,93.0,0.0,0.0 
 01/02  05:50:00,8.0,93.0,0.0,0.0 
 01/02  05:55:00,8.0,93.0,0.0,0.0 
 01/02  06:00:00,8.0,93.0,0.0,0.0 
 01/02  06:05:00,8.0,93.0,0.0,0.0 
 01/02  06:10:00,8.0,93.0,0.0,0.0 
 01/02  06:15:00,8.0,93.0,0.0,0.0 
 01/02  06:20:00,8.0,93.0,0.0,0.0 
 01/02  06:25:00,8.0,93.0,0.0,0.0 
 01/02  06:30:00,8.0,93.0,0.0,0.0 
 01/02  06:35:00,8.0,93.0,0.0,0.0 
 01/02  06:40:00,8.0,93.0,0.0,0.0 
 01/02  06:45:00,8.0,93.0,0.0,0.0 
 01/02  06:50:00,8.0,93.0,0.0,0.0 
 01/02  06:55:00,8.0,93.0,0.0,0.0 
 01/02  07:00:00,8.0,93.0,0.0,0.0 
 01/02  07:05:00,8.0,93.0,0.0,0.0 
 01/02  07:10:00,8.0,93.0,0.0,0.0 
 01/02  07:15:00,8.0,93.0,0.0,0.0 
 01/02  07:20:00,8.0,93.0,0.0,0.0 
 01/02  07:25:00,8.0,93.0,0.0,0.0 
 01/02  07:30:00,8.0,93.0,0.0,26.0 
 01/02  07:35:00,8.0,93.0,2.250000000000001,29.166666666666669 
 01/02  07:40:00,8.0,93.0,4.499999999999999,32.33333333333333 
 01/02  07:45:00,8.0,93.0,6.75,35.5 
 01/02  07:50:00,8.0,93.0,8.999999999999999,38.666666666666667 
 01/02  07:55:00,8.0,93.0,11.249999999999999,41.83333333333333 
 01/02  08:00:00,8.0,93.0,13.5,45.0 
 01/02  08:05:00,8.016666666666666,92.91666666666667,15.750000000000002,48.16666666666667 
 01/02  08:10:00,8.033333333333334,92.83333333333333,18.000000000000005,51.333333333333339 
 01/02  08:15:00,8.05,92.75,20.25,54.5 
 01/02  08:20:00,8.066666666666667,92.66666666666667,22.5,57.66666666666667 
 01/02  08:25:00,8.083333333333333,92.58333333333333,24.75,60.83333333333333 
 01/02  08:30:00,8.1,92.5,27.0,64.0 
 01/02  08:35:00,8.116666666666668,92.41666666666667,28.666666666666669,67.25 
 01/02  08:40:00,8.133333333333333,92.33333333333333,30.333333333333333,70.5 
 01/02  08:45:00,8.149999999999999,92.25,32.0,73.75 
 01/02  08:50:00,8.166666666666666,92.16666666666667,33.666666666666667,77.0 
 01/02  08:55:00,8.183333333333334,92.08333333333333,35.333333333333339,80.25 
 01/02  09:00:00,8.2,92.0,37.0,83.5 
 01/02  09:05:00,8.266666666666666,92.08333333333333,38.666666666666667,86.75 
 01/02  09:10:00,8.333333333333333,92.16666666666667,40.333333333333339,90.0 
 01/02  09:15:00,8.399999999999999,92.25,42.0,93.25 
 01/02  09:20:00,8.466666666666667,92.33333333333334,43.66666666666667,96.5 
 01/02  09:25:00,8.533333333333332,92.41666666666666,45.33333333333333,99.75 
